course_id,course_code,course_name,credits,department,prereq_course_id
1,CS101,Data Structures,4,Computer Science,
2,CS201,Algorithms,4,Computer Science,1
3,CS301,Database Systems,3,Computer Science,2
4,CS302,Operating Systems,3,Computer Science,2
5,CS401,Machine Learning,4,Computer Science,3
6,MA101,Calculus I,4,Mathematics,
7,MA201,Calculus II,4,Mathematics,6
8,MA301,Linear Algebra,3,Mathematics,7
9,MA302,Probability & Statistics,3,Mathematics,7
10,PH101,Mechanics,4,Physics,
11,PH201,Electromagnetism,3,Physics,10
12,EC101,Basic Electronics,3,Electronics,
13,EC201,Digital Logic Design,3,Electronics,12
14,HU101,English Communication,2,Humanities,
15,HU201,Technical Writing,2,Humanities,14
