reg_id,student_id,section_id,semester,status,grade,registration_date
1,7,63,Spring2026,Completed,B,2026-08-31 19:49:22
2,7,32,Spring2025,Completed,A,2026-08-31 19:49:22
3,7,61,Spring2026,Completed,A,2026-08-31 19:49:22
4,7,58,Spring2026,Completed,A,2026-08-31 19:49:22
5,8,26,Spring2025,Completed,A,2026-08-31 19:49:22
6,8,54,Spring2026,Completed,B,2026-08-31 19:49:22
7,8,22,Spring2025,Completed,B,2026-08-31 19:49:22
8,8,24,Spring2025,Completed,A,2026-08-31 19:49:22
9,9,37,Fall2025,Completed,B,2026-08-31 19:49:22
10,9,46,Fall2025,Completed,B,2026-08-31 19:49:22
11,9,53,Spring2026,Completed,B,2026-08-31 19:49:22
12,10,33,Spring2025,Completed,B,2026-08-31 19:49:22
13,10,39,Fall2025,Completed,A,2026-08-31 19:49:22
14,10,57,Spring2026,Completed,A,2026-08-31 19:49:22
15,10,43,Fall2025,Completed,C,2026-08-31 19:49:22
16,10,31,Spring2025,Completed,B,2026-08-31 19:49:22
17,10,52,Spring2026,Completed,A,2026-08-31 19:49:22
18,11,24,Spring2025,Completed,A,2026-08-31 19:49:22
19,11,58,Spring2026,Completed,A,2026-08-31 19:49:22
20,11,25,Spring2025,Completed,B,2026-08-31 19:49:22
21,11,28,Spring2025,Completed,C,2026-08-31 19:49:22
22,11,52,Spring2026,Completed,A,2026-08-31 19:49:22
23,12,35,Spring2025,Completed,C,2026-08-31 19:49:22
24,12,23,Spring2025,Completed,B,2026-08-31 19:49:22
25,12,39,Fall2025,Completed,C,2026-08-31 19:49:22
26,13,27,Spring2025,Completed,A,2026-08-31 19:49:22
27,13,40,Fall2025,Completed,D,2026-08-31 19:49:22
28,14,62,Spring2026,Completed,F,2026-08-31 19:49:22
29,14,61,Spring2026,Completed,B,2026-08-31 19:49:22
30,14,24,Spring2025,Completed,A,2026-08-31 19:49:22
31,14,30,Spring2025,Completed,B,2026-08-31 19:49:22
32,14,32,Spring2025,Completed,A,2026-08-31 19:49:22
33,15,65,Spring2026,Completed,C,2026-08-31 19:49:22
34,15,21,Spring2025,Completed,D,2026-08-31 19:49:22
35,15,34,Spring2025,Completed,A,2026-08-31 19:49:22
36,15,52,Spring2026,Completed,B,2026-08-31 19:49:22
37,15,27,Spring2025,Completed,A,2026-08-31 19:49:22
38,15,54,Spring2026,Completed,B,2026-08-31 19:49:22
39,16,52,Spring2026,Completed,B,2026-08-31 19:49:22
40,16,60,Spring2026,Completed,B,2026-08-31 19:49:22
41,16,39,Fall2025,Completed,B,2026-08-31 19:49:22
42,17,25,Spring2025,Completed,C,2026-08-31 19:49:22
43,17,43,Fall2025,Completed,B,2026-08-31 19:49:22
44,17,21,Spring2025,Dropped,,2026-08-31 19:49:22
45,17,22,Spring2025,Completed,C,2026-08-31 19:49:22
46,17,35,Spring2025,Completed,B,2026-08-31 19:49:22
47,18,40,Fall2025,Completed,B,2026-08-31 19:49:22
48,18,55,Spring2026,Dropped,,2026-08-31 19:49:22
49,18,59,Spring2026,Completed,A,2026-08-31 19:49:22
50,18,50,Fall2025,Dropped,,2026-08-31 19:49:22
51,19,37,Fall2025,Completed,F,2026-08-31 19:49:22
52,19,25,Spring2025,Completed,B,2026-08-31 19:49:22
53,19,39,Fall2025,Dropped,,2026-08-31 19:49:22
54,19,58,Spring2026,Dropped,,2026-08-31 19:49:22
55,20,31,Spring2025,Completed,C,2026-08-31 19:49:22
56,20,26,Spring2025,Completed,D,2026-08-31 19:49:22
57,20,38,Fall2025,Completed,D,2026-08-31 19:49:22
58,21,51,Spring2026,Dropped,,2026-08-31 19:49:22
59,21,65,Spring2026,Completed,B,2026-08-31 19:49:22
60,21,45,Fall2025,Completed,C,2026-08-31 19:49:22
61,21,25,Spring2025,Dropped,,2026-08-31 19:49:22
62,21,35,Spring2025,Completed,C,2026-08-31 19:49:22
63,21,52,Spring2026,Completed,C,2026-08-31 19:49:22
64,22,62,Spring2026,Dropped,,2026-08-31 19:49:22
65,22,33,Spring2025,Dropped,,2026-08-31 19:49:22
66,22,23,Spring2025,Completed,D,2026-08-31 19:49:22
67,22,48,Fall2025,Completed,D,2026-08-31 19:49:22
68,22,25,Spring2025,Completed,B,2026-08-31 19:49:22
69,22,49,Fall2025,Completed,A,2026-08-31 19:49:22
70,23,41,Fall2025,Completed,B,2026-08-31 19:49:22
71,23,24,Spring2025,Completed,A,2026-08-31 19:49:22
72,23,40,Fall2025,Dropped,,2026-08-31 19:49:22
73,24,64,Spring2026,Dropped,,2026-08-31 19:49:22
74,24,35,Spring2025,Completed,F,2026-08-31 19:49:22
75,24,36,Fall2025,Completed,B,2026-08-31 19:49:22
76,24,63,Spring2026,Completed,B,2026-08-31 19:49:22
77,24,52,Spring2026,Completed,C,2026-08-31 19:49:22
78,25,29,Spring2025,Completed,F,2026-08-31 19:49:22
79,25,62,Spring2026,Completed,D,2026-08-31 19:49:22
80,25,37,Fall2025,Dropped,,2026-08-31 19:49:22
81,25,56,Spring2026,Completed,D,2026-08-31 19:49:22
82,25,44,Fall2025,Completed,B,2026-08-31 19:49:22
83,25,47,Fall2025,Completed,B,2026-08-31 19:49:22
84,26,57,Spring2026,Dropped,,2026-08-31 19:49:22
85,26,60,Spring2026,Completed,B,2026-08-31 19:49:22
86,26,25,Spring2025,Completed,B,2026-08-31 19:49:22
87,26,56,Spring2026,Completed,C,2026-08-31 19:49:22
88,26,29,Spring2025,Dropped,,2026-08-31 19:49:22
89,27,52,Spring2026,Completed,B,2026-08-31 19:49:22
90,27,56,Spring2026,Dropped,,2026-08-31 19:49:22
91,27,31,Spring2025,Completed,B,2026-08-31 19:49:22
92,27,21,Spring2025,Dropped,,2026-08-31 19:49:22
93,28,42,Fall2025,Completed,F,2026-08-31 19:49:22
94,28,62,Spring2026,Completed,C,2026-08-31 19:49:22
95,28,31,Spring2025,Dropped,,2026-08-31 19:49:22
96,29,39,Fall2025,Dropped,,2026-08-31 19:49:22
