section_id,course_id,instructor_name,semester,schedule,max_seats,enrolled_seats
1,1,Prof. Sharma,Fall2026,Mon/Wed 9:00-10:30,40,1
2,2,Prof. Gupta,Fall2026,Mon/Wed 11:00-12:30,50,0
3,3,Prof. Singh,Fall2026,Tue/Thu 9:00-10:30,30,0
4,4,Prof. Verma,Fall2026,Tue/Thu 11:00-12:30,40,0
5,5,Prof. Das,Fall2026,Tue/Thu 2:00-3:30,30,0
6,6,Prof. Sharma,Fall2026,Mon/Wed 2:00-3:30,50,0
7,7,Prof. Gupta,Fall2026,Fri 9:00-12:00,60,0
8,8,Prof. Singh,Fall2026,Mon/Wed 9:00-10:30,50,0
9,9,Prof. Verma,Fall2026,Mon/Wed 11:00-12:30,30,0
10,10,Prof. Das,Fall2026,Tue/Thu 9:00-10:30,40,1
11,11,Prof. Sharma,Fall2026,Tue/Thu 11:00-12:30,50,0
12,12,Prof. Gupta,Fall2026,Tue/Thu 2:00-3:30,40,0
13,13,Prof. Singh,Fall2026,Mon/Wed 2:00-3:30,60,0
14,14,Prof. Verma,Fall2026,Fri 9:00-12:00,60,0
15,15,Prof. Das,Fall2026,Mon/Wed 9:00-10:30,60,0
16,1,Prof. Sharma,Fall2026,Mon/Wed 11:00-12:30,40,0
17,6,Prof. Gupta,Fall2026,Tue/Thu 9:00-10:30,50,0
18,2,Prof. Singh,Fall2026,Tue/Thu 11:00-12:30,40,0
19,10,Prof. Verma,Fall2026,Tue/Thu 2:00-3:30,40,0
20,12,Prof. Das,Fall2026,Mon/Wed 2:00-3:30,50,0
21,1,Prof. Das,Spring2025,Tue/Thu 11:00-12:30,60,0
22,6,Prof. Das,Spring2025,Tue/Thu 11:00-12:30,60,0
23,10,Prof. Singh,Spring2025,Mon/Wed 11:00-12:30,60,0
24,12,Prof. Gupta,Spring2025,Tue/Thu 2:00-3:30,60,0
25,14,Prof. Verma,Spring2025,Mon/Wed 9:00-10:30,60,0
26,2,Prof. Sharma,Spring2025,Fri 9:00-12:00,60,0
27,7,Prof. Sharma,Spring2025,Mon/Wed 11:00-12:30,60,0
28,11,Prof. Gupta,Spring2025,Fri 9:00-12:00,60,0
29,13,Prof. Verma,Spring2025,Tue/Thu 2:00-3:30,60,0
30,15,Prof. Sharma,Spring2025,Tue/Thu 11:00-12:30,60,0
31,3,Prof. Verma,Spring2025,Tue/Thu 2:00-3:30,60,0
32,4,Prof. Verma,Spring2025,Tue/Thu 2:00-3:30,60,0
33,8,Prof. Singh,Spring2025,Tue/Thu 2:00-3:30,60,0
34,9,Prof. Sharma,Spring2025,Mon/Wed 2:00-3:30,60,0
35,5,Prof. Sharma,Spring2025,Mon/Wed 2:00-3:30,60,0
36,1,Prof. Das,Fall2025,Fri 9:00-12:00,60,0
37,6,Prof. Singh,Fall2025,Fri 9:00-12:00,60,0
38,10,Prof. Singh,Fall2025,Mon/Wed 9:00-10:30,60,0
39,12,Prof. Singh,Fall2025,Tue/Thu 11:00-12:30,60,0
40,14,Prof. Gupta,Fall2025,Tue/Thu 11:00-12:30,60,0
41,2,Prof. Sharma,Fall2025,Mon/Wed 2:00-3:30,60,0
42,7,Prof. Singh,Fall2025,Tue/Thu 2:00-3:30,60,0
43,11,Prof. Gupta,Fall2025,Tue/Thu 2:00-3:30,60,0
44,13,Prof. Sharma,Fall2025,Fri 9:00-12:00,60,0
45,15,Prof. Singh,Fall2025,Fri 9:00-12:00,60,0
46,3,Prof. Das,Fall2025,Tue/Thu 2:00-3:30,60,0
47,4,Prof. Gupta,Fall2025,Mon/Wed 11:00-12:30,60,0
48,8,Prof. Singh,Fall2025,Fri 9:00-12:00,60,0
49,9,Prof. Gupta,Fall2025,Tue/Thu 2:00-3:30,60,0
50,5,Prof. Das,Fall2025,Mon/Wed 9:00-10:30,60,0
51,1,Prof. Das,Spring2026,Tue/Thu 9:00-10:30,60,0
52,6,Prof. Verma,Spring2026,Mon/Wed 9:00-10:30,60,0
53,10,Prof. Sharma,Spring2026,Tue/Thu 9:00-10:30,60,0
54,12,Prof. Singh,Spring2026,Mon/Wed 11:00-12:30,60,0
55,14,Prof. Sharma,Spring2026,Mon/Wed 11:00-12:30,60,0
56,2,Prof. Das,Spring2026,Mon/Wed 9:00-10:30,60,0
57,7,Prof. Sharma,Spring2026,Mon/Wed 2:00-3:30,60,0
58,11,Prof. Verma,Spring2026,Fri 9:00-12:00,60,0
59,13,Prof. Sharma,Spring2026,Fri 9:00-12:00,60,0
60,15,Prof. Das,Spring2026,Fri 9:00-12:00,60,0
61,3,Prof. Gupta,Spring2026,Mon/Wed 11:00-12:30,60,0
62,4,Prof. Verma,Spring2026,Tue/Thu 2:00-3:30,60,0
63,8,Prof. Gupta,Spring2026,Tue/Thu 9:00-10:30,60,0
64,9,Prof. Das,Spring2026,Fri 9:00-12:00,60,0
65,5,Prof. Das,Spring2026,Tue/Thu 11:00-12:30,60,0
